mouse_id,behaviour 1,recording ,behaviour 2
EJT136_1_3,11/11/2021,11/11/2021,12/11/2021
EJT136_1_4,12/11/2021,11/11/2021,13/11/2021
EJT149_1_1,16/11/2021,16/11/2021,17/11/2021
EJT178_1_6,29/03/2022,29/03/2022,30/03/2022
EJT178_1_7,30/03/2022,30/03/2022,31/03/2022
EJT178_1_8,31/03/2022,31/03/2022,01/04/2022
EJT178_2_1,04/04/2022,04/04/2022,05/04/2022
EJT178_2_2,05/04/2022,05/04/2022,06/04/2022
EJT178_2_3,06/04/2022,06/04/2022,07/04/2022
EJT269_1_2,15/05/2023,15/05/2023,16/05/2023
EJT269_1_4,18/05/2023,18/05/2023,19/05/2023
EJT270_1_6,19/05/2023,19/05/2023,20/05/2023
SEQ006_1_8,25/11/2024,25/11/2024,26/11/2024
SEQ006_1_9,26/11/2024,26/11/2024,27/11/2024
SEQ006_1_10,27/11/2024,27/11/2024,28/11/2024
SEQ006_1_11,28/11/2024,28/11/2024,29/11/2024
SEQ008_1_3,13/11/2024,13/11/2024,14/11/2024
SEQ007_1_4,29/11/2024,29/11/2024,30/11/2024
EJT268_1_2,02/05/2024,02/05/2024,03/05/2024
EJT269_1_2,15/05/2023,15/05/2023,16/05/2023
AP5R_1_1,16/11/2024,16/11/2024,17/11/2024
AP5R_1_2,18/11/2024,18/11/2024,19/11/2024
AP5R_1_3,19/11/2024,19/11/2024,20/11/2024
SEQ006_1_1,15/11/2024,15/11/2024,16/11/2024
SEQ006_1_2,16/11/2024,16/11/2024,17/11/2024
SEQ006_1_3,18/11/2024,18/11/2024,19/11/2024
SEQ006_1_4,19/11/2024,19/11/2024,20/11/2024
SEQ006_1_5,20/11/2024,20/11/2024,21/11/2024
SEQ006_1_6,21/11/2024,21/11/2024,22/11/2024
SEQ006_1_7,22/11/2024,22/11/2024,23/11/2024
SEQ007_1_1,18/11/2024,18/11/2024,19/11/2024
SEQ007_1_2,19/11/2024,19/11/2024,20/11/2024
SEQ007_1_3,20/11/2024,20/11/2024,21/11/2024